,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
146,147,UKR,Yelyzaveta ZHARKA,3,0 - 0,,"10,900 / 8"
147,148,KOR,KOH EunByeol,3,0 - 0,,"10,900 / 6"
148,149,CHN,HUI Xirui,3,0 - 0,,"10,810 / 3"
149,150,GER,Olga KONON,3,0 - 0,,"10,790 / 6"
150,151,IND,GADDE Ruthvika Shivani,3,0 - 0,,"10,790 / 4"
151,152,USA,Christine LOOK,3,0 - 0,,"10,770 / 10"
152,153,INA,Fitriani FITRIANI,11,0 - 0,,"10,740 / 7"
153,154,IND,Riya PILLAI,13,0 - 0,,"10,740 / 5"
154,155,AUT,Simone PRUTSCH,1,0 - 0,,"10,730 / 15"
155,156,TPE,Ying Chun LIN,1,0 - 0,,"10,720 / 6"
156,157,NZL,Anna RANKIN,1,0 - 0,,"10,700 / 16"
157,158,WAL,Carissa TURNER,1,0 - 0,,"10,663 / 11"
158,159,THA,Sarita SUWANNAKITBORIHAN,10,0 - 0,,"10,640 / 7"
159,160,ENG,Nicola CERFONTYNE,1,0 - 0,,"10,620 / 12"
160,161,INA,Hera DESI,-32,0 - 0,,"10,520 / 4"
161,162,EST,Karoliine HOIM,1,0 - 0,,"10,340 / 13"
162,163,POL,Anna NAREL,-20,0 - 0,,"10,173 / 7"
163,164,TUR,Kader Ä°NAL,2,0 - 0,,"10,170 / 9"
164,165,SVK,Martina REPISKA,-31,0 - 0,,"10,147 / 15"
165,166,GER,Yvonne LI,24,0 - 0,,"9,880 / 8"
166,167,INA,SUSANTO Yulia Yosephin,-5,0 - 0,,"9,840 / 13"
167,168,INA,Febby ANGGUNI,0,0 - 0,,"9,720 / 7"
168,169,RUS,Anastasia CHERVYAKOVA,14,0 - 0,,"9,700 / 9"
169,170,EST,Laura VANA,0,0 - 0,,"9,520 / 13"
170,171,UKR,Natalya VOYTSEKH,0,0 - 0,,"9,420 / 6"
171,172,CHN,SHEN Yaying,1,0 - 0,,"9,310 / 3"
172,173,IND,Rituparna DAS,23,0 - 0,,"9,240 / 4"
173,174,SWE,Matilda PETERSEN,0,0 - 0,,"9,152 / 10"
174,175,CHN,LI Yun,0,0 - 0,,"9,130 / 4"
175,176,TPE,Chien Hui YU,0,0 - 0,,"9,080 / 7"
176,177,AUS,Jennifer TAM,1,0 - 0,,"8,840 / 5"
177,178,RUS,Evgenia DIMOVA,1,0 - 0,,"8,830 / 10"
178,179,JPN,Anna DOI,1,0 - 0,,"8,830 / 4"
179,180,AUS,Ruwindi SERASINGHE,1,0 - 0,,"8,810 / 7"
180,181,CZE,Katerina TOMALOVA,1,0 - 0,,"8,790 / 13"
181,182,IND,Shruti MUNDADA,10,0 - 0,,"8,770 / 6"
182,183,DEN,Julie FINNE-IPSEN,1,0 - 0,,"8,760 / 8"
